ProductoID,Marca,Descripción,DescripciónID,Tamaño,TamañoID
20969647041,20969,Ninety Cellars Lot 105 Chard,6470,750mL,41
20973567541,20973,Lustau Pedro Ximenez San Emi,5675,750mL,41
20980914541,20980,Valley of the Moon Blend 41,9145,750mL,41
20985857841,20985,Tarantas Tempranillo,8578,750mL,41
20986704441,20986,Pizzolato Fields Prosecco,7044,750mL,41
20987704341,20987,Pizzolato Cab Svgn,7043,750mL,41
20988704541,20988,Pizzolato Merlot,7045,750mL,41
20991546841,20991,Les Hauts de Lagarde Blanc,5468,750mL,41
20992546941,20992,Les Hauts de Lagarde Rouge,5469,750mL,41
20995416241,20995,Grape & Vine Merlot,4162,750mL,41
20997416341,20997,Grape & Vine Pnt Grigio,4163,750mL,41
21000108841,21000,Bonpas Ch du Pape Rouge Rsv,1088,750mL,41
21001108941,21001,Bonpas Cote du Rhone Rouge R,1089,750mL,41
21002108741,21002,Bonpas Blanc Rhone Vly,1087,750mL,41
21003109041,21003,Bonpas Ventoux Rouge Rhone,1090,750mL,41
21004171841,21004,Castle Rock Pnt Nr Carneros,1718,750mL,41
21006200641,21006,Ch Lassegue 05 GC St Emilion,2006,750mL,41
21007217841,21007,Ch Vignot 05 St Emilion Red,2178,750mL,41
21008179241,21008,Cenyth Sonoma Red,1792,750mL,41
21009385741,21009,Galerie Naissance Svgn Bl,3857,750mL,41
21010526441,21010,La Jota Cab Svgn Howell Mtn,5264,750mL,41
21013948441,21013,WindRacer RRV Pnt Nr,9484,750mL,41
21015948341,21015,WindRacer RRV Chard,9483,750mL,41
21016948241,21016,WindRacer Anderson Vly Chard,9482,750mL,41
21017339241,21017,Estancia Monterey County GSM,3392,750mL,41
21025720632,21025,Querceto Vin Santo Chianti C,7206,500mL,32
21027513441,21027,Kinsella Est Cab Svgn 10,5134,750mL,41
